gender,region,degree_type,parent_education,medium_of_instruction,internet_quality,coaching_enrolled,financial_stress,num_subjects,study_hours_per_week,attendance_rate,sleep_hours_avg,extracurricular_count,prev_cgpa,internal_marks_pct,assignment_completion_pct,ai_reliance,independent_after_ai,ai_anxiety,verify_ai_answers,reduced_thinking_effort,ai_assignment_pct,multitask_studying,shortform_consumption,doomscroll_sleep,nonstudy_screen_time,ai_usage_frequency,ai_authenticity_risk,stylometric_consistency,comprehension_depth,reasoning_coherence,code_originality,cross_modal_consistency,learning_trajectory_slope,knowledge_boundary_breadth,conceptual_error_rate,authentic_engagement,dominant_error_type,target
Female,North,B.Tech,10th Pass,Hindi,3G/Moderate,No,8,7,22.2,80.6,5.8,1,5.89,52.2,65.8,4.0,2.0,4.0,1.0,2.0,13.0,3.0,2.0,3.0,5.0,5+/day,0.529,58.0,46.9,49.9,42.6,71.3,0.07766666666666668,46.4,0.474,59.8,Minimal,At-Risk
Female,East,M.Tech,Below 10th,English,5G/Excellent,No,1,4,8.4,73.5,8.6,3,5.65,65.3,62.8,2.0,3.0,2.0,3.0,1.0,13.0,1.0,3.0,1.0,1.0,1-3/day,0.207,78.9,63.1,59.4,77.0,52.0,0.3746666666666667,49.9,0.438,71.8,Procedural,Pass
Male,West,B.Com,Below 10th,English,5G/Excellent,No,9,5,4.4,75.8,7.0,3,3.21,41.0,40.4,3.0,4.0,3.0,4.0,4.0,38.0,3.0,2.0,2.0,3.0,5+/day,0.457,33.9,20.4,26.4,45.5,37.8,-0.14866666666666667,30.1,0.767,45.2,Conceptual,At-Risk
Male,West,B.Tech,10th Pass,English,5G/Excellent,No,8,5,15.2,92.0,6.8,2,6.37,73.7,73.7,4.0,3.0,4.0,4.0,5.0,88.0,4.0,4.0,4.0,3.0,5+/day,0.6,36.3,56.1,63.0,44.2,55.9,0.4523333333333333,54.6,0.417,62.7,Minimal,Pass
Female,East,B.Tech,Graduate,Hindi,5G/Excellent,No,4,5,22.4,94.6,5.3,3,7.35,72.4,45.3,4.0,3.0,4.0,4.0,4.0,38.0,1.0,2.0,2.0,1.0,5+/day,0.563,45.8,57.8,56.7,48.6,59.6,0.35600000000000004,65.1,0.632,62.8,Minimal,Pass
Male,North,B.Tech,Below 10th,Hindi,5G/Excellent,No,10,6,26.7,89.9,7.6,1,5.98,55.8,52.6,1.0,1.0,3.0,4.0,4.0,38.0,1.0,3.0,4.0,7.0,5+/day,0.301,71.6,57.0,58.0,60.4,54.6,-0.113,43.1,0.464,61.6,Conceptual,Pass
Female,West,B.Tech,12th Pass,Regional,3G/Moderate,Yes,4,7,21.8,93.6,5.9,1,7.86,83.1,76.6,5.0,2.0,4.0,1.0,2.0,38.0,4.0,3.0,3.0,1.0,1-3/day,0.503,62.1,74.3,84.3,63.7,67.2,0.31466666666666665,73.9,0.335,72.4,Minimal,Pass
Female,West,B.Tech,Below 10th,English,3G/Moderate,Yes,4,6,11.5,75.7,5.7,1,5.98,39.0,27.4,5.0,5.0,3.0,1.0,3.0,13.0,2.0,3.0,4.0,5.0,3-5/day,0.483,52.7,67.5,70.8,49.3,69.9,-0.09433333333333332,56.7,0.446,56.3,Procedural,Pass
Female,North,B.Com,10th Pass,Hindi,4G/Good,Yes,6,8,11.6,68.8,6.9,2,6.44,59.9,57.9,4.0,2.0,1.0,3.0,5.0,38.0,4.0,3.0,4.0,7.0,5+/day,0.538,54.6,51.1,44.7,35.8,67.8,-0.24366666666666667,43.6,0.498,42.2,Conceptual,Fail
Male,South,BCA,10th Pass,Hindi,4G/Good,No,2,8,26.5,73.0,5.6,1,6.15,57.2,46.8,5.0,2.0,4.0,1.0,4.0,63.0,4.0,1.0,4.0,1.0,3-5/day,0.708,29.7,38.7,37.3,31.0,64.3,-0.5573333333333333,46.5,0.691,45.0,Conceptual,Fail
Male,North,MCA,Below 10th,Regional,2G/Slow,No,4,4,24.3,87.2,5.4,3,5.88,59.7,60.8,4.0,2.0,3.0,2.0,5.0,88.0,2.0,3.0,3.0,7.0,3-5/day,0.666,24.9,51.9,41.6,31.5,62.3,-0.13599999999999998,60.5,0.575,45.8,Language,At-Risk
Female,South,MCA,Graduate,English,4G/Good,No,4,4,21.8,96.6,5.1,4,6.37,48.9,69.2,5.0,1.0,4.0,1.0,3.0,38.0,3.0,2.0,3.0,7.0,5+/day,0.706,44.6,57.8,56.0,31.2,61.0,-0.45,45.6,0.47,49.6,Minimal,At-Risk
Male,North,B.E.,12th Pass,Regional,4G/Good,No,8,4,24.4,67.2,8.0,2,5.77,65.4,64.5,4.0,2.0,1.0,3.0,5.0,38.0,4.0,3.0,4.0,7.0,5+/day,0.543,50.9,48.7,40.4,47.9,65.2,-0.4246666666666667,50.0,0.559,50.2,Language,Fail
Male,South,MCA,Graduate,Regional,5G/Excellent,No,2,6,19.2,77.7,8.6,4,6.68,79.6,57.9,4.0,2.0,5.0,3.0,1.0,38.0,1.0,3.0,3.0,3.0,3-5/day,0.334,61.4,63.4,68.2,54.8,77.4,0.5583333333333333,59.6,0.491,72.8,Language,Pass
Female,East,BCA,Below 10th,Hindi,4G/Good,No,8,5,16.5,78.7,9.4,0,5.34,51.8,42.8,4.0,2.0,5.0,2.0,2.0,38.0,4.0,1.0,3.0,1.0,5+/day,0.526,64.8,46.2,42.3,38.7,68.2,-0.12766666666666668,51.4,0.497,49.5,Procedural,At-Risk
Female,East,B.Tech,Below 10th,Hindi,4G/Good,Yes,10,4,16.9,72.7,7.9,5,5.27,47.3,43.5,4.0,1.0,3.0,2.0,3.0,88.0,3.0,3.0,3.0,7.0,3-5/day,0.578,45.9,34.6,37.3,55.9,65.7,0.021666666666666667,40.2,0.63,44.3,Conceptual,Fail
Female,West,BCA,10th Pass,English,4G/Good,No,2,4,22.5,89.2,3.0,4,7.32,71.5,67.8,4.0,3.0,4.0,1.0,2.0,13.0,1.0,4.0,4.0,7.0,5+/day,0.403,61.9,64.1,57.3,72.7,73.3,0.023333333333333334,66.0,0.454,75.0,Minimal,Pass
Female,Northeast,B.E.,Graduate,Regional,4G/Good,No,9,8,19.7,94.0,7.0,3,5.37,42.0,60.2,1.0,3.0,4.0,3.0,4.0,38.0,2.0,3.0,3.0,3.0,1-3/day,0.385,68.2,65.8,45.2,65.4,44.7,-0.14633333333333334,42.5,0.485,65.4,Language,Pass
Male,North,MCA,10th Pass,English,5G/Excellent,No,9,5,4.2,100.0,6.1,2,4.22,38.6,61.8,4.0,2.0,4.0,1.0,4.0,63.0,3.0,1.0,4.0,3.0,5+/day,0.633,48.0,26.7,20.8,33.9,57.9,-0.7246666666666667,19.6,0.791,33.2,Conceptual,Fail
Female,North,B.Com,12th Pass,Hindi,2G/Slow,Yes,6,6,24.2,100.0,10.1,1,6.85,58.1,48.4,2.0,2.0,3.0,2.0,3.0,63.0,3.0,3.0,2.0,7.0,5+/day,0.445,62.2,54.9,62.3,62.0,81.3,0.7086666666666667,48.4,0.444,69.5,Conceptual,Pass
Other,Northeast,B.E.,10th Pass,English,4G/Good,No,10,5,22.1,91.5,7.1,1,5.35,46.5,50.9,3.0,2.0,5.0,1.0,5.0,88.0,3.0,3.0,3.0,7.0,3-5/day,0.718,30.2,29.5,28.4,28.0,50.2,-0.545,32.6,0.536,31.9,Conceptual,Fail
Male,North,MCA,Below 10th,English,4G/Good,No,5,8,20.3,76.5,5.3,4,5.63,51.5,53.0,5.0,3.0,4.0,2.0,4.0,63.0,3.0,4.0,4.0,7.0,5+/day,0.603,47.4,41.8,53.8,41.4,75.1,0.07066666666666667,40.3,0.535,50.5,Procedural,At-Risk
Male,Central,B.Tech,Post-Graduate,Hindi,4G/Good,No,7,6,27.9,90.5,5.4,4,5.97,65.5,54.6,4.0,3.0,3.0,1.0,1.0,63.0,4.0,3.0,3.0,5.0,5+/day,0.426,65.9,57.3,50.5,52.9,83.4,0.19099999999999998,52.2,0.419,65.0,Minimal,Pass
Female,Northeast,MCA,12th Pass,Regional,3G/Moderate,No,8,7,12.3,58.5,3.9,4,3.5,35.8,44.8,5.0,1.0,4.0,2.0,1.0,88.0,3.0,2.0,3.0,5.0,5+/day,0.636,38.2,29.8,16.3,34.7,55.7,-0.41333333333333333,21.1,0.736,34.4,Language,Fail
Female,East,B.E.,Graduate,Hindi,3G/Moderate,Yes,8,4,10.5,89.9,6.4,3,6.69,61.8,62.9,5.0,2.0,3.0,1.0,4.0,13.0,3.0,2.0,4.0,5.0,5+/day,0.523,59.0,51.0,53.8,57.0,73.1,-0.17500000000000002,51.8,0.434,52.4,Procedural,At-Risk
Female,Central,B.Tech,Graduate,Regional,3G/Moderate,Yes,3,6,21.5,86.4,4.1,1,6.4,49.9,46.9,4.0,2.0,4.0,1.0,4.0,88.0,2.0,4.0,3.0,5.0,5+/day,0.691,34.8,45.2,42.8,40.5,64.6,-0.377,39.9,0.606,37.9,Conceptual,Fail
Female,North,B.E.,12th Pass,Hindi,3G/Moderate,No,3,8,12.7,82.9,3.5,5,6.48,72.2,44.1,4.0,4.0,5.0,1.0,4.0,38.0,2.0,3.0,4.0,1.0,5+/day,0.501,51.3,56.5,53.4,47.8,66.7,0.02033333333333333,49.0,0.445,58.2,Procedural,Pass
Male,South,BCA,Below 10th,English,5G/Excellent,No,5,5,29.7,72.6,5.1,0,5.99,45.7,63.2,4.0,2.0,2.0,4.0,3.0,13.0,3.0,2.0,3.0,3.0,5+/day,0.437,57.6,58.9,54.8,71.2,63.5,0.37566666666666665,54.6,0.523,64.6,Procedural,At-Risk
Male,West,B.Tech,12th Pass,English,4G/Good,No,5,6,13.1,91.5,5.0,3,6.09,65.2,43.7,4.0,1.0,4.0,2.0,4.0,38.0,3.0,4.0,3.0,1.0,5+/day,0.586,59.4,49.3,51.4,39.8,63.8,-0.09433333333333332,36.7,0.621,52.3,Procedural,At-Risk
Female,South,B.Com,10th Pass,Hindi,3G/Moderate,No,2,8,13.0,70.1,6.6,5,6.39,63.7,71.1,4.0,4.0,5.0,2.0,5.0,13.0,3.0,2.0,4.0,5.0,5+/day,0.465,43.4,60.5,52.9,63.5,74.6,0.08733333333333333,50.1,0.409,60.4,Procedural,At-Risk
Female,Central,B.Tech,12th Pass,English,4G/Good,No,5,6,15.2,94.7,7.1,1,8.23,44.6,58.8,4.0,2.0,5.0,3.0,1.0,88.0,3.0,3.0,4.0,5.0,1-3/day,0.447,67.3,54.6,54.8,57.2,52.3,0.024333333333333332,58.5,0.517,68.3,Procedural,Pass
Female,North,B.Com,12th Pass,Hindi,2G/Slow,Yes,1,4,15.9,89.2,6.5,1,6.63,48.6,54.5,5.0,2.0,5.0,1.0,1.0,38.0,4.0,4.0,3.0,7.0,3-5/day,0.448,35.1,41.0,36.6,35.4,63.4,0.29233333333333333,28.3,0.499,58.5,Minimal,At-Risk
Female,East,BCA,Graduate,English,5G/Excellent,No,7,5,15.4,87.2,6.3,1,5.75,60.3,45.7,4.0,2.0,4.0,1.0,2.0,13.0,3.0,2.0,3.0,5.0,5+/day,0.67,41.1,49.7,56.4,54.0,56.7,0.006333333333333333,68.1,0.427,49.8,Conceptual,Pass
Male,East,B.Tech,Graduate,English,4G/Good,No,7,5,16.2,70.2,7.1,1,7.25,62.9,82.5,3.0,4.0,3.0,5.0,5.0,63.0,3.0,2.0,3.0,3.0,3-5/day,0.298,62.1,77.4,67.7,70.1,67.2,0.7493333333333334,76.7,0.38,82.3,Minimal,Pass
Male,West,B.E.,Graduate,Hindi,5G/Excellent,No,1,6,15.5,74.2,8.2,2,6.74,61.8,86.7,3.0,2.0,4.0,2.0,2.0,13.0,3.0,3.0,3.0,1.0,5+/day,0.346,69.7,73.4,59.1,66.8,70.6,0.12333333333333334,64.3,0.355,71.4,Minimal,Pass
Female,South,BCA,Below 10th,Hindi,3G/Moderate,Yes,3,8,7.1,64.2,5.0,1,5.18,46.6,51.5,5.0,3.0,4.0,3.0,1.0,38.0,2.0,4.0,2.0,5.0,5+/day,0.461,55.5,41.8,45.1,42.7,55.1,-0.009666666666666667,34.7,0.617,51.6,Procedural,At-Risk
Female,South,BCA,10th Pass,English,5G/Excellent,Yes,8,4,21.5,92.1,7.0,4,6.86,53.1,52.5,4.0,2.0,4.0,2.0,5.0,63.0,2.0,3.0,3.0,5.0,5+/day,0.68,20.2,46.7,49.1,23.3,65.5,-0.09866666666666667,39.8,0.527,39.9,Conceptual,At-Risk
Female,Northeast,BCA,Below 10th,English,3G/Moderate,Yes,9,4,14.9,82.4,6.5,1,4.29,74.1,38.6,3.0,3.0,5.0,3.0,4.0,38.0,3.0,4.0,4.0,3.0,5+/day,0.551,53.9,49.3,51.3,45.6,71.9,-0.049999999999999996,42.9,0.474,58.4,Minimal,At-Risk
Female,North,B.E.,Graduate,English,2G/Slow,No,3,6,16.9,75.6,7.1,5,5.79,62.2,66.7,4.0,4.0,3.0,2.0,4.0,38.0,3.0,3.0,3.0,7.0,5+/day,0.454,79.0,61.3,58.7,63.0,84.7,0.34,63.9,0.403,63.1,Minimal,Pass
Female,Northeast,B.E.,Post-Graduate,English,No Access,No,6,7,9.5,80.4,6.2,0,2.82,46.5,33.6,4.0,2.0,2.0,1.0,4.0,88.0,3.0,3.0,2.0,5.0,5+/day,0.766,12.7,18.6,19.4,18.6,62.2,-0.5756666666666667,9.6,0.747,29.1,Conceptual,Fail
Male,East,B.Com,10th Pass,Hindi,4G/Good,No,6,6,7.3,94.6,5.2,2,5.58,39.4,71.7,5.0,1.0,5.0,2.0,3.0,63.0,4.0,3.0,3.0,7.0,5+/day,0.858,10.4,13.6,14.7,3.1,55.4,-0.6573333333333333,11.4,0.751,18.0,Conceptual,Fail
Male,West,B.Tech,Below 10th,Hindi,3G/Moderate,Yes,6,4,17.3,68.3,6.3,0,3.91,41.1,42.0,4.0,3.0,4.0,1.0,4.0,13.0,1.0,2.0,2.0,1.0,3-5/day,0.564,53.2,46.8,35.5,50.6,64.5,-0.18866666666666665,33.9,0.613,52.0,Conceptual,Fail
Male,West,B.E.,12th Pass,English,4G/Good,Yes,5,5,28.9,76.7,5.4,0,8.26,77.7,86.7,4.0,2.0,4.0,1.0,2.0,13.0,3.0,2.0,3.0,5.0,5+/day,0.415,70.7,64.4,72.0,66.9,79.6,0.465,87.2,0.341,79.2,Minimal,Pass
Female,North,B.Tech,Graduate,English,5G/Excellent,No,6,6,28.6,63.0,5.0,0,7.35,55.2,61.9,3.0,3.0,4.0,2.0,5.0,88.0,2.0,3.0,3.0,7.0,5+/day,0.48,43.0,48.5,54.3,49.2,78.8,-0.06133333333333333,44.2,0.437,50.0,Procedural,Fail
Male,East,MCA,12th Pass,English,3G/Moderate,No,6,6,11.6,69.4,8.3,3,4.98,50.5,37.1,4.0,1.0,5.0,2.0,4.0,38.0,1.0,3.0,2.0,7.0,5+/day,0.582,54.7,41.2,31.8,34.2,76.4,-0.208,34.7,0.484,44.9,Conceptual,Fail
Male,Northeast,MCA,Below 10th,English,3G/Moderate,No,10,5,12.8,79.0,6.7,1,4.72,59.1,27.0,5.0,1.0,3.0,5.0,5.0,38.0,4.0,3.0,3.0,1.0,5+/day,0.629,28.0,30.7,39.4,31.6,59.2,-0.216,18.2,0.761,39.5,Procedural,Fail
Female,South,B.Tech,Post-Graduate,Hindi,5G/Excellent,Yes,6,6,19.2,95.0,3.5,5,8.08,72.3,75.8,5.0,5.0,5.0,4.0,5.0,88.0,4.0,4.0,4.0,3.0,5+/day,0.323,51.5,77.6,66.7,63.9,75.8,0.015,71.6,0.281,70.7,Minimal,Pass
Male,Central,B.Tech,Graduate,English,4G/Good,Yes,8,8,0.0,89.7,3.0,1,4.96,52.2,30.3,1.0,2.0,5.0,1.0,5.0,13.0,3.0,3.0,3.0,3.0,5+/day,0.45,49.5,50.6,33.1,50.5,51.6,-0.5113333333333333,46.2,0.599,47.2,Conceptual,At-Risk
Female,South,B.Tech,Below 10th,English,5G/Excellent,No,6,5,13.9,93.9,6.3,0,4.81,60.7,64.4,3.0,3.0,4.0,1.0,2.0,63.0,3.0,3.0,4.0,3.0,5+/day,0.54,55.4,52.2,56.3,50.6,73.0,-0.17233333333333334,51.9,0.48,57.0,Minimal,At-Risk
Male,North,B.E.,Post-Graduate,Regional,4G/Good,Yes,3,5,19.6,90.0,5.6,1,7.6,63.8,51.3,3.0,3.0,5.0,3.0,4.0,38.0,3.0,4.0,4.0,3.0,5+/day,0.334,76.3,71.3,60.6,64.0,63.8,0.4916666666666667,47.9,0.308,71.2,Language,Pass
Male,South,B.E.,12th Pass,English,4G/Good,No,7,5,16.4,70.5,6.5,3,6.79,74.2,67.4,4.0,4.0,4.0,4.0,4.0,88.0,4.0,4.0,4.0,5.0,5+/day,0.598,31.7,72.7,55.3,51.6,61.0,0.06766666666666667,60.2,0.403,61.6,Minimal,Fail
Female,Central,B.Com,10th Pass,Hindi,3G/Moderate,Yes,6,4,4.7,100.0,6.9,1,5.93,52.5,78.2,5.0,3.0,5.0,4.0,2.0,13.0,3.0,3.0,3.0,5.0,5+/day,0.428,55.5,64.1,57.6,59.7,74.9,0.07533333333333334,55.0,0.413,65.6,Procedural,Pass
Male,South,B.E.,12th Pass,Hindi,5G/Excellent,Yes,9,6,5.2,90.9,6.5,1,5.35,36.8,64.1,3.0,4.0,4.0,3.0,3.0,38.0,3.0,3.0,4.0,7.0,5+/day,0.386,51.6,41.4,47.4,45.0,35.8,-0.12433333333333334,44.3,0.652,54.1,Conceptual,At-Risk
Male,Northeast,B.Tech,Graduate,English,5G/Excellent,No,4,7,8.0,100.0,5.3,0,5.86,63.3,49.5,3.0,2.0,5.0,1.0,5.0,88.0,3.0,3.0,3.0,7.0,3-5/day,0.632,51.3,45.5,40.2,32.5,64.3,-0.21166666666666667,39.6,0.563,40.0,Procedural,Fail
Female,Central,M.Tech,Graduate,Hindi,5G/Excellent,No,1,6,17.5,100.0,8.0,2,7.22,76.4,97.7,2.0,1.0,2.0,2.0,5.0,63.0,4.0,4.0,3.0,1.0,3-5/day,0.328,54.0,71.5,68.9,55.3,84.1,0.29833333333333334,53.5,0.222,69.7,Minimal,Pass
Female,South,B.E.,Below 10th,Hindi,4G/Good,Yes,6,6,12.1,80.9,4.8,2,3.75,22.5,62.9,1.0,1.0,4.0,2.0,4.0,88.0,2.0,4.0,3.0,7.0,5+/day,0.485,46.6,31.6,27.6,39.7,31.5,-0.124,27.2,0.602,44.1,Conceptual,Fail
Male,North,BCA,Post-Graduate,Hindi,5G/Excellent,No,9,4,28.9,76.1,8.3,1,7.67,55.0,79.6,5.0,2.0,5.0,5.0,3.0,63.0,3.0,2.0,4.0,7.0,5+/day,0.531,39.8,58.0,63.9,62.2,83.0,0.06066666666666667,54.8,0.508,62.7,Procedural,Pass
Female,West,B.Tech,Below 10th,Hindi,4G/Good,No,8,8,8.6,55.2,7.4,0,6.42,47.3,58.2,2.0,3.0,4.0,2.0,2.0,38.0,3.0,4.0,2.0,1.0,5+/day,0.419,58.2,56.7,45.1,57.5,49.9,0.132,28.5,0.504,62.9,Procedural,Fail
Male,South,B.E.,Graduate,Regional,4G/Good,Yes,2,8,26.6,84.0,5.5,2,6.68,45.9,52.7,4.0,1.0,5.0,5.0,2.0,88.0,2.0,4.0,3.0,1.0,5+/day,0.488,62.6,51.6,55.1,45.7,59.1,0.2966666666666667,49.5,0.542,65.1,Language,Pass
Male,West,B.Com,12th Pass,Regional,5G/Excellent,Yes,3,4,9.6,81.5,7.2,5,6.27,64.9,90.9,5.0,3.0,4.0,2.0,2.0,63.0,3.0,3.0,1.0,3.0,5+/day,0.589,45.7,64.7,61.3,56.4,57.7,0.4073333333333333,59.1,0.39,63.6,Language,Pass
Female,South,BCA,10th Pass,Hindi,3G/Moderate,No,8,4,35.6,74.3,6.0,2,5.44,58.0,51.8,3.0,2.0,1.0,3.0,4.0,0.0,2.0,3.0,2.0,3.0,5+/day,0.48,65.4,56.5,44.6,57.9,70.3,0.27566666666666667,52.9,0.556,67.9,Conceptual,At-Risk
Female,East,B.Tech,10th Pass,Regional,3G/Moderate,Yes,9,4,22.6,76.0,8.5,4,4.71,42.6,40.0,2.0,2.0,3.0,2.0,3.0,63.0,3.0,3.0,2.0,7.0,5+/day,0.438,42.2,57.5,44.5,53.1,66.0,0.10233333333333333,51.2,0.563,56.7,Language,At-Risk
Female,West,BCA,Graduate,English,3G/Moderate,No,8,6,2.5,88.2,5.5,2,4.87,32.7,46.5,3.0,1.0,3.0,4.0,4.0,63.0,3.0,3.0,3.0,5.0,5+/day,0.612,47.0,26.9,35.1,34.0,46.1,-0.36766666666666664,25.8,0.598,42.6,Conceptual,Fail
Female,South,B.Com,12th Pass,Hindi,4G/Good,No,10,4,26.5,59.4,7.7,5,6.15,53.2,41.8,5.0,4.0,5.0,2.0,4.0,38.0,3.0,3.0,3.0,5.0,5+/day,0.582,45.5,46.6,55.5,40.5,69.8,-0.22733333333333336,41.0,0.424,53.4,Procedural,Fail
Other,South,B.Tech,Graduate,English,4G/Good,Yes,1,7,14.8,97.4,4.6,3,8.05,80.9,58.8,5.0,4.0,5.0,2.0,4.0,38.0,3.0,3.0,3.0,5.0,5+/day,0.7,32.6,61.7,62.2,49.7,34.5,0.161,52.7,0.343,59.4,Minimal,Pass
Male,South,B.E.,12th Pass,English,4G/Good,Yes,3,5,24.5,92.5,7.0,5,7.48,81.7,69.9,4.0,3.0,4.0,4.0,2.0,38.0,2.0,3.0,4.0,5.0,Never,0.153,85.3,72.8,73.8,70.0,68.6,0.6016666666666667,74.0,0.353,86.0,Minimal,Pass
Male,South,B.Com,Graduate,Hindi,5G/Excellent,Yes,8,8,17.9,77.7,6.9,4,9.01,52.3,77.8,3.0,2.0,3.0,4.0,1.0,13.0,4.0,3.0,2.0,5.0,3-5/day,0.191,91.5,83.1,86.3,79.5,49.0,0.7686666666666667,85.3,0.171,91.9,Minimal,Pass
Female,East,B.Tech,12th Pass,Hindi,4G/Good,Yes,1,7,15.5,81.1,7.5,0,7.21,48.9,68.7,3.0,4.0,3.0,5.0,5.0,63.0,3.0,2.0,3.0,3.0,3-5/day,0.431,51.9,70.3,53.6,57.6,62.2,0.27199999999999996,60.3,0.395,66.3,Minimal,Pass
Male,Northeast,BCA,10th Pass,English,3G/Moderate,Yes,7,8,16.2,85.8,7.2,5,5.63,66.4,37.5,5.0,2.0,5.0,3.0,4.0,88.0,1.0,3.0,2.0,3.0,3-5/day,0.583,50.4,41.4,38.5,37.0,61.8,-0.04766666666666666,50.1,0.502,54.8,Procedural,At-Risk
Male,South,BCA,10th Pass,Hindi,4G/Good,No,4,6,9.8,91.8,6.0,4,4.55,66.5,54.3,3.0,3.0,4.0,1.0,2.0,63.0,3.0,3.0,4.0,3.0,5+/day,0.569,50.9,53.5,46.1,37.2,57.5,-0.20933333333333334,47.9,0.531,57.4,Procedural,At-Risk
Male,East,BCA,Graduate,Hindi,5G/Excellent,No,7,6,14.9,100.0,3.6,2,5.6,60.8,47.3,4.0,2.0,4.0,3.0,4.0,38.0,3.0,3.0,4.0,5.0,3-5/day,0.604,53.4,52.1,50.5,46.3,61.1,-0.4383333333333333,44.8,0.528,45.2,Minimal,At-Risk
Male,West,B.E.,12th Pass,English,2G/Slow,No,4,4,9.0,75.7,4.5,4,4.57,32.3,53.5,5.0,3.0,4.0,4.0,4.0,88.0,3.0,3.0,3.0,3.0,5+/day,0.695,56.7,39.0,29.8,53.1,69.3,-0.25066666666666665,51.6,0.503,44.0,Conceptual,Fail
Female,South,B.Tech,10th Pass,English,4G/Good,No,8,8,14.7,98.4,3.4,0,4.62,36.1,67.9,4.0,4.0,3.0,2.0,4.0,38.0,3.0,3.0,3.0,1.0,3-5/day,0.491,39.5,40.5,33.0,46.9,52.0,0.084,43.1,0.481,53.3,Conceptual,At-Risk
Female,South,BCA,Post-Graduate,English,No Access,Yes,6,6,19.4,79.3,6.1,1,6.72,62.1,78.5,3.0,3.0,4.0,2.0,5.0,88.0,2.0,3.0,3.0,7.0,5+/day,0.611,42.5,52.1,39.9,42.8,79.5,-0.13666666666666666,53.9,0.4,48.8,Minimal,At-Risk
Female,Central,B.Tech,Graduate,English,4G/Good,Yes,10,6,25.4,77.2,8.2,3,6.18,53.2,68.2,4.0,2.0,5.0,3.0,1.0,38.0,2.0,3.0,4.0,5.0,5+/day,0.494,63.7,48.1,54.0,43.6,73.3,-0.09999999999999999,51.1,0.316,60.6,Procedural,Pass
Male,West,B.E.,Below 10th,Hindi,3G/Moderate,Yes,10,8,28.4,78.9,5.4,1,5.34,51.5,52.6,5.0,3.0,5.0,3.0,4.0,88.0,3.0,4.0,3.0,5.0,5+/day,0.627,30.4,45.6,33.4,46.6,71.0,-0.008,41.1,0.587,46.6,Procedural,At-Risk
Male,East,B.Tech,Post-Graduate,English,3G/Moderate,Yes,8,6,17.9,95.0,5.9,0,7.57,67.2,66.1,4.0,2.0,2.0,3.0,5.0,0.0,2.0,2.0,3.0,3.0,5+/day,0.414,54.4,58.7,59.7,53.6,65.8,0.36733333333333335,47.2,0.476,70.9,Minimal,Pass
Male,West,B.Tech,Graduate,English,4G/Good,Yes,1,4,10.1,75.1,5.6,1,6.94,71.6,53.8,5.0,3.0,4.0,2.0,5.0,13.0,1.0,4.0,1.0,7.0,5+/day,0.42,49.3,58.4,55.2,60.2,78.6,0.129,48.3,0.349,60.2,Procedural,Pass
Male,North,B.Com,10th Pass,Hindi,5G/Excellent,No,9,6,17.6,83.3,6.9,3,6.28,50.0,67.9,2.0,1.0,5.0,2.0,4.0,38.0,4.0,4.0,4.0,3.0,3-5/day,0.618,45.7,44.5,34.2,45.3,59.4,-0.3393333333333333,35.3,0.689,42.8,Conceptual,Fail
Female,East,B.E.,10th Pass,Hindi,4G/Good,No,9,7,16.9,75.8,6.8,0,4.43,49.9,33.5,1.0,2.0,4.0,4.0,4.0,88.0,4.0,4.0,4.0,5.0,3-5/day,0.358,61.1,58.5,39.3,59.0,54.7,-0.20333333333333334,53.0,0.537,57.0,Conceptual,At-Risk
Female,East,B.Com,Graduate,English,5G/Excellent,No,6,7,27.2,76.9,5.9,1,5.85,44.8,32.8,4.0,2.0,5.0,3.0,3.0,63.0,4.0,3.0,3.0,1.0,1-3/day,0.608,47.4,47.2,43.7,47.8,74.9,-0.228,51.3,0.628,51.6,Conceptual,At-Risk
Female,East,B.Tech,Graduate,English,4G/Good,Yes,9,4,24.1,98.2,5.0,3,7.24,61.3,58.0,1.0,1.0,4.0,2.0,4.0,88.0,2.0,4.0,3.0,7.0,5+/day,0.497,59.4,67.0,51.1,54.6,84.3,0.06633333333333334,51.3,0.491,63.0,Conceptual,Pass
Male,South,BCA,10th Pass,English,No Access,No,6,7,19.6,81.9,7.4,4,5.88,54.0,32.4,2.0,4.0,4.0,5.0,4.0,13.0,4.0,3.0,3.0,1.0,5+/day,0.222,67.1,78.8,64.4,76.2,42.7,0.07766666666666668,62.3,0.367,81.3,Procedural,Pass
Female,North,B.Tech,10th Pass,Regional,3G/Moderate,No,6,6,28.6,74.0,8.1,1,6.93,63.9,50.5,5.0,3.0,3.0,4.0,5.0,38.0,2.0,4.0,3.0,7.0,5+/day,0.527,43.7,63.0,65.0,59.5,77.0,0.161,67.1,0.231,64.2,Language,At-Risk
Female,North,MCA,10th Pass,Regional,5G/Excellent,Yes,4,7,14.5,76.8,7.7,4,6.32,41.9,65.0,5.0,2.0,5.0,2.0,3.0,88.0,3.0,2.0,3.0,7.0,3-5/day,0.754,27.4,36.9,38.2,19.1,72.2,-0.3263333333333333,33.7,0.642,38.0,Conceptual,Fail
